MEUS PROGRESSOS: HABILIDADES ESSENCIAIS PARA CRIANÇAS COM TRANSTORNO DO ESPECTRO AUTISTA (TEA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRENDIZ:,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALIADOR:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 2:,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLICAÇÃO 3:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÁREAS,,1/0/00,,1/0/00,,1/0/00,,,,,,,,,,,,,,,,,,,,,
3,Consegue imitar sons,,,,,,,3,Permanece sentada por pelo menos 10 minutos com reforçador,,,,3,Constrói uma torre com 4 blocos de montar,,,,3,Faz xixi no troninho quando colocada por um adulto,,,,3,"Combina objetos a suas figuras correspondentes quando apresentadas 3 figuras e 3 objetos, de forma aleatória",,,
4,Emite 10 sons diferentes,,,,,,,4,Consegue aguardar pelo menos 30 segundos para receber algo que deseja,,,,4,"Utilizando um martelo de brinquedo, prega 5 pinos em seus encaixes",,,,4,Avisa ao adulto a necessidade de fazer xixi,,,,4,"Emparelha objetos com a mesma textura (feltros, pelúcias, madeiras)",,,
5,Pede por seus objetos e atividades favoritas,,,,,,,5,"Aguarda, sem resistência, por pelo menos 1 minuto por algo que está esperando que aconteça",,,,5,Monta um quebra-cabeça de 3 peças,,,,5,Não faz xixi na cama,,,,5,Emparelha 3 cores,,,
6,Nomeia pessoas familiares,,,,,,,6,"Aguarda sentada por pelo menos 3 minutos sem resistência, sem uso de reforçador",,,,6,Pedala um triciclo por no mínimo 3 metros,,,,6,Faz cocô no troninho quando colocada por um adulto,,,,6,Emparelha formas geométricas a suas respectivas figuras,,,
7,Nomeia figuras,,,,,,,7,Realiza as refeições sentada,,,,7,"Utilizando um lápis, traça os pontilhados do desenho na folha",,,,7,Avisa ao adulto sobre a necessidade de fazer cocô,,,,7,Combina objetos que se relacionam entre si,,,
8,Nomeia objetos,,,,,,,8,"Consegue aguardar a sua vez na fila por pelo menos 5 minutos, sem comportamentos-problema",,,,8,Une três pedaços de massa de modelar,,,,8,Tem a iniciativa de ir ao banheiro para fazer xixi e o realiza sozinha,,,,8,Combina itens por categorias,,,
9,Completa trechos de músicas conhecidas,,,,,,,9,"Consegue participar efetivamente de brincadeira em grupo, aguardando sua vez",,,,9,Pedala um triciclo fazendo curvas,,,,9,Tem a iniciativa de ir ao banheiro para fazer cocô e o realiza sozinha,,,,9,Combina palavras escritas a suas imagens correspondentes,,,
10,Faz perguntas e se envolve em conversas simples,,,,,,,10,Lida bem com derrotas e com o término das atividades prazerosas,,,,10,Fecha garrafas com tampa de rosca,,,,10,Faz xixi e cocô sozinha e depois realiza a higiene pessoal,,,,10,Identifica palavras simples escritas e ditadas por um adulto (discriminação auditiva),,,
LINGUAGEM RECEPTIVA ,,,,,,,,BRINCAR ,,,,,INTERAÇÃO COM BOLA ,,,,,ALIMENTAÇÃO ,,,,,USO DO LÁPIS ,,,,
1,Segue instruções de 1 passo,,,,,,,1,"Engaja-se em brincadeiras corporais (cadê/achou, cócegas)",,,,1,"Rola uma bola, imitando um adulto",,,,1,Possui ao menos 10 diferentes alimentos em sua dieta,,,,1,"Copia uma linha vertical ou horizontal, imitando um adulto",,,
2,Segue instruções de 2 passos,,,,,,,2,"Manuseia e brinca corretamente com brinquedos giratórios ou de movimento (pião, aramados)",,,,2,Pega a bola do chão e levanta com o uso das duas mãos,,,,2,"Alimenta-se de sólidos, mesmo que apresente dieta extremamente limitada",,,,2,"Copia uma linha diagonal, imitando um adulto",,,
3,Segue sequências de instruções de 3 passos,,,,,,,3,Brinca com jogos de encaixe simples,,,,3,Joga a bola com as duas mãos a uma distância de 2 metros do par,,,,3,"Realiza ao menos 1 refeição no dia, ainda que tenha variabilidade alimentar restrita",,,,3,Desenha um círculo (imitando ou com um modelo à vista),,,
4,Identifica partes do corpo humano,,,,,,,4,Brinca com quebra-cabeças de até 4 peças,,,,4,Chuta uma bola grande que está imóvel a uma distância de 2 metros,,,,4,Realiza ao menos 2 refeições por dia,,,,4,Desenha um quadrado com o uso do lápis (imitando ou com um modelo à vista),,,
5,Identifica pessoas familiares,,,,,,,5,"Brinca cooperativamente, ajudando o par a completar a atividade",,,,5,Chuta a bola quando ela está rolando devagar em sua direção,,,,5,"Realiza ao menos 4 refeições por dia, mesmo com forte preferência por alimentos específicos",,,,5,Desenha um triângulo quando solicitado (imitando ou com um modelo à vista),,,
6,Identifica pelo menos 10 figuras do seu cotidiano,,,,,,,6,Brinca alternando turnos (minha vez/sua vez),,,,6,Agarra a bola com ambas as mãos quando ela é jogada em sua direção,,,,6,"Come alimentos variáveis, mesmo que dê preferência a marcas específicas",,,,6,"Pinta um desenho com poucos detalhes, mesmo não respeitando os limites (margens) do desenho",,,
7,Identifica pelo menos 10 objetos presentes no seu dia a dia,,,,,,,7,Usa os brinquedos do playground de forma correta,,,,7,Corre e brinca com a bola em movimento,,,,7,Aceita comidas que diferem em textura e cor das comidas usuais,,,,7,"Desenha, copiando o que o adulto está desenhando, por no mínimo 3 minutos",,,
8,"Responde perguntas simples (""O que você quer?"")",,,,,,,8,Manuseia fantoches e bonecos,,,,8,"Chuta a bola firmemente e demonstrando domínio para a direção que deseja, a mais de 5 metros",,,,8,Aceita comidas de múltiplas cores e texturas,,,,8,"Pinta um desenho com poucos detalhes, respeitando seus limites (margens)",,,
9,"Responde duas perguntas simples (""Qual cor você quer e o que você quer beber?"")",,,,,,,9,"Engaja-se em brincadeiras de casa, com criação de personagens",,,,9,"Arremessa uma bola em uma cesta, com ambas as mãos, a uma distância de 2 metros",,,,9,Experimenta novos alimentos,,,,9,"Realiza desenhos simples e reconhecíveis, de forma que a criança indique que os desenhou (casa, pessoa, carro)",,,
10,"Responde perguntas complexas (""Qual é o seu time?"", ""Qual é a sua cor preferida?"")",,,,,,,10,"Presta atenção em histórias contadas, mesmo que curtas e com uso de materiais concretos",,,,10,Chuta a bola na direção de um gol posicionado a uma distância de 7 metros,,,,10,Apresenta dieta equilibrada e balanceada,,,,10,"Escreve o seu nome, imitando um adulto ou com um modelo à vista ",,,
TOTAL,,0,,0,,0,,TOTAL,,0,0,0,TOTAL,,0,0,0,TOTAL,,0,0,0,TOTAL,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGENDA DE PONTUAÇÃO,,,,,,,,"PARA CADA HABILIDADE, É NECESSÁRIO ALCANÇAR UM TOTAL 
DE 80 PONTOS; QUANDO SOMADAS, AS HABILIDADES PODEM 
ATINGIR UM TOTAL MÁXIMO DE 400 PONTOS",,,,,,,,,,,,,,,,,,,
NÃO REALIZA =  0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERGENTE = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALIZA = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
